Tel,Livesp,District,Floor,Bal,Price,lon,Walk,Kitsp,rooms,Metrodist,Totsp,lat,New,Brick,N,NFloor
1,19.1,0,12,1,9100000,37.634892,1,0,1,9,38.0,55.725995,0,0,148894545,16
0,53.3,0,3,0,9117548,37.67228,1,0,2,5,53.3,55.775824,0,1,150118029,6
1,19.0,0,16,1,9199000,37.626556,1,0,1,5,34.2,55.776051,0,0,26243062,16
0,21.4,0,23,1,9200000,37.68765,1,0,1,10,43.0,55.740015,0,1,150753351,25
1,29.0,0,1,0,9200000,37.627966,1,0,2,6,44.0,55.779423,0,1,148224543,5
1,19.0,0,9,1,9200000,37.683877,1,0,1,11,38.0,55.74108,0,0,147901521,17
1,18.0,0,9,0,9300000,37.61167,1,0,1,10,31.0,55.724287,0,1,150354513,9
1,27.0,0,8,1,9300000,37.705634,1,0,2,7,42.0,55.776598,0,1,148533758,9
0,0,0,8,0,9342300,37.564689,1,0,1,5,44.7,55.770244,0,1,138051093,39
0,42.6,0,2,0,9356608,37.672163,1,0,1,5,42.6,55.776294,0,1,149920195,6
1,22.0,0,1,0,9390000,37.678559,1,0,2,2,37.0,55.774811,0,0,150329842,9
0,41.2,0,4,0,9395149,37.671938,1,0,1,6,41.2,55.775753,0,0,149031390,0
0,0,0,7,0,9432900,37.564689,1,0,1,5,44.6,55.770244,0,1,138051087,39
0,19.0,0,12,1,9450000,37.626556,1,0,1,9,37.0,55.776051,0,0,150857078,16
0,18.0,0,1,0,9500000,37.591117,1,0,1,4,30.0,55.769707,0,1,149842937,5
1,29.0,0,4,1,9500000,37.569926,1,0,2,15,45.0,55.771641,0,1,149146537,5
0,21.0,0,5,0,9500000,37.654448,0,0,1,7,40.0,55.733624,0,1,150612489,13
1,22.2,0,11,1,9500000,37.678514,1,0,2,5,39.5,55.768061,0,0,150468272,12
0,20.0,0,6,0,9500000,37.676412,1,0,1,5,38.5,55.746466,0,0,149951233,18
1,29.0,0,3,1,9500000,37.653909,1,0,2,9,43.0,55.73478,0,1,150639725,5
1,20.0,0,5,1,9500000,37.570564,1,0,1,9,35.2,55.766694,0,0,144133232,12
1,27.0,0,2,0,9500000,37.655347,1,0,2,5,39.0,55.771312,0,1,149419090,6
0,30.0,0,1,1,9700000,37.702706,1,0,2,11,50.0,55.772396,0,1,150638572,14
1,29.0,0,2,1,9700000,37.601034,1,0,2,7,47.4,55.785878,0,0,139550369,12
1,89.0,0,2,0,55000000,37.597809,1,0,4,9,117.0,55.762586,0,0,150695569,4
0,0,0,2,0,32645200,37.555139,0,0,2,0,73.4,55.76135,0,0,148287729,18
1,300.0,0,13,1,568956600,37.58508,1,0,,5,475.0,55.750788,0,0,149978646,13
1,32.0,0,3,1,9700000,37.667483,1,0,2,11,38.0,55.741642,0,0,136725466,17
0,20.0,0,3,1,9700000,37.570564,1,0,1,9,35.0,55.766694,0,0,150751616,12
0,46.2,0,5,0,9768439,37.672163,1,0,2,5,46.2,55.776294,0,1,149920200,6
0,0,0,2,0,9769141,37.671938,1,0,1,9,44.5,55.775753,0,1,150833980,6
0,30.0,0,5,1,9792900,37.658257,1,0,1,9,41.0,55.770853,0,1,150458157,18
1,42.0,0,6,1,9800000,37.706793,1,0,3,8,58.0,55.777742,0,1,149323017,9
0,45.0,0,3,1,9800000,37.671938,1,0,1,5,60.0,55.775753,0,1,149490088,5
0,20.2,0,4,1,9822900,37.658257,1,0,1,9,41.1,55.770853,0,1,150713146,13
0,32.0,0,6,1,9850000,37.661042,0,0,2,3,55.0,55.731739,0,0,150631966,7
0,45.9,0,1,0,9865843,37.671938,1,0,1,6,45.9,55.775753,0,0,149031213,0
0,59.1,0,3,0,9886025,37.67228,1,0,3,5,59.1,55.775824,0,1,150118460,6
0,15.0,0,7,0,9900000,37.654224,1,0,1,7,30.0,55.765949,0,0,150911073,8
1,28.0,0,8,1,9900000,37.538548,1,0,2,12,43.0,55.758119,0,1,148566423,9
0,32.0,0,7,1,9900000,37.639671,1,0,2,12,49.0,55.787801,0,0,150211678,12
0,19.5,0,10,1,9900000,37.633688,1,0,1,3,38.0,55.730086,0,1,149781961,14
1,28.6,0,4,1,9900000,37.562937,1,0,2,10,42.6,55.757962,0,1,147978925,5
0,46.2,0,1,0,9930382,37.672163,1,0,2,5,46.2,55.776294,0,1,150235286,6
0,27.0,0,1,0,9950000,37.66,1,0,2,10,40.0,55.747459,0,1,148653881,8
0,20.0,0,5,1,9990000,37.584272,1,0,1,12,35.0,55.740472,0,0,150871176,8
0,24.0,0,3,0,10000000,37.637596,1,0,2,4,33.0,55.770942,0,1,150638655,5
1,28.0,0,3,1,10000000,37.537613,1,0,2,12,40.0,55.755864,0,0,150541005,12
1,27.0,0,10,1,10000000,37.673519,1,0,2,10,45.0,55.766724,0,0,149414837,12
1,30.0,0,7,1,10000000,37.686815,1,0,2,10,46.0,55.777864,0,0,147308973,9
0,25.1,0,1,0,10000000,37.660683,1,0,2,11,41.0,55.747429,0,1,149007233,8
1,19.9,0,2,0,10000000,37.686437,1,0,1,3,34.8,55.744662,0,0,150876664,12
1,146.0,0,3,0,95000000,37.598034,1,0,,8,230.0,55.748807,0,1,149004008,3
0,70.0,0,5,0,56000000,37.645393,1,0,5,8,152.0,55.762358,0,1,147907726,6
1,54.0,0,10,0,44500000,37.637443,1,0,4,8,122.0,55.769859,0,1,149551744,10
1,30.0,0,3,1,10000000,37.627813,1,0,2,8,46.0,55.792124,0,1,150738741,8
1,20.0,0,9,1,9999999,37.522998,1,0,1,10,35.1,55.753387,0,0,17264878,12
0,18.0,0,9,1,10000000,37.566584,1,0,1,11,33.9,55.769904,0,1,150827072,9
1,28.2,0,9,1,10000000,37.56547,1,0,2,3,41.5,55.764967,0,1,150853943,9
0,53.2,0,16,0,10004800,37.685364,0,0,3,0,69.9,55.745617,0,1,150689132,19
